university_name,rank,arwu_uni_link
Shanghai Jiao Tong University,46,https://www.shanghairanking.com/institution/shanghai-jiao-tong-university
Sorbonne University,46,https://www.shanghairanking.com/institution/sorbonne-university
The University of Texas Southwestern Medical Center at Dallas,48,https://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas
University of Geneva,49,https://www.shanghairanking.com/institution/university-of-geneva
"University of Maryland, College Park",50,https://www.shanghairanking.com/institution/university-of-maryland-college-park
The University of Queensland,51,https://www.shanghairanking.com/institution/the-university-of-queensland
University of Illinois Urbana-Champaign,52,https://www.shanghairanking.com/institution/university-of-illinois-at-urbana-champaign
Utrecht University,52,https://www.shanghairanking.com/institution/utrecht-university
Swiss Federal Institute of Technology Lausanne,54,https://www.shanghairanking.com/institution/swiss-federal-institute-of-technology-lausanne
Heidelberg University,55,https://www.shanghairanking.com/institution/heidelberg-university
Fudan University,56,https://www.shanghairanking.com/institution/fudan-university
University of Colorado at Boulder,57,https://www.shanghairanking.com/institution/university-of-colorado-at-boulder
University of Southern California,58,https://www.shanghairanking.com/institution/university-of-southern-california
King's College London,59,https://www.shanghairanking.com/institution/kings-college-london
Technical University of Munich,59,https://www.shanghairanking.com/institution/technical-university-of-munich
University of Munich,59,https://www.shanghairanking.com/institution/university-of-munich
University of Zurich,59,https://www.shanghairanking.com/institution/university-of-zurich
"University of California, Santa Barbara",63,https://www.shanghairanking.com/institution/university-of-california-santa-barbara
University of Science and Technology of China,64,https://www.shanghairanking.com/institution/university-of-science-and-technology-of-china
"University of California, Irvine",65,https://www.shanghairanking.com/institution/university-of-california-irvine
Vanderbilt University,66,https://www.shanghairanking.com/institution/vanderbilt-university
University of Bonn,67,https://www.shanghairanking.com/institution/university-of-bonn
Weizmann Institute of Science,68,https://www.shanghairanking.com/institution/weizmann-institute-of-science
Université Paris Cité,69,https://www.shanghairanking.com/institution/university-of-paris
McGill University,70,https://www.shanghairanking.com/institution/mcgill-university
National University of Singapore,71,https://www.shanghairanking.com/institution/national-university-of-singapore
The University of New South Wales,72,https://www.shanghairanking.com/institution/the-university-of-new-south-wales
Sun Yat-sen University,73,https://www.shanghairanking.com/institution/sun-yat-sen-university
University of Oslo,73,https://www.shanghairanking.com/institution/university-of-oslo
University of Sydney,73,https://www.shanghairanking.com/institution/university-of-sydney
University of Groningen,76,https://www.shanghairanking.com/institution/university-of-groningen
Monash University,77,https://www.shanghairanking.com/institution/monash-university
Aarhus University,78,https://www.shanghairanking.com/institution/aarhus-university
Technion-Israel Institute of Technology,79,https://www.shanghairanking.com/institution/technion-israel-institute-of-technology
The University of Texas M. D. Anderson Cancer Center,80,https://www.shanghairanking.com/institution/the-university-of-texas-m-d-anderson-cancer-center
University of Basel,81,https://www.shanghairanking.com/institution/university-of-basel
Uppsala University,82,https://www.shanghairanking.com/institution/uppsala-university
University of Pittsburgh,83,https://www.shanghairanking.com/institution/university-of-pittsburgh
Ghent University,84,https://www.shanghairanking.com/institution/ghent-university
The Australian National University,84,https://www.shanghairanking.com/institution/the-australian-national-university
KU Leuven,86,https://www.shanghairanking.com/institution/ku-leuven
The Hebrew University of Jerusalem,86,https://www.shanghairanking.com/institution/the-hebrew-university-of-jerusalem
Erasmus University Rotterdam,88,https://www.shanghairanking.com/institution/erasmus-university-rotterdam
The University of Hong Kong,88,https://www.shanghairanking.com/institution/the-university-of-hong-kong
University of Bristol,88,https://www.shanghairanking.com/institution/university-of-bristol
Huazhong University of Science and Technology,91,https://www.shanghairanking.com/institution/huazhong-university-of-science-and-technology
University of Alberta,91,https://www.shanghairanking.com/institution/university-of-alberta
Nanyang Technological University,93,https://www.shanghairanking.com/institution/nanyang-technological-university
Seoul National University,94,https://www.shanghairanking.com/institution/seoul-national-university
Central South University,95,https://www.shanghairanking.com/institution/central-south-university
Nanjing University,96,https://www.shanghairanking.com/institution/nanjing-university
Purdue University - West Lafayette,96,https://www.shanghairanking.com/institution/purdue-university-west-lafayette
Brown University,98,https://www.shanghairanking.com/institution/brown-university
McMaster University,98,https://www.shanghairanking.com/institution/mcmaster-university
Stockholm University,98,https://www.shanghairanking.com/institution/stockholm-university
Arizona State University,101-150,https://www.shanghairanking.com/institution/arizona-state-university
Beijing Institute of Technology,101-150,https://www.shanghairanking.com/institution/beijing-institute-of-technology
Boston University,101-150,https://www.shanghairanking.com/institution/boston-university
Carnegie Mellon University,101-150,https://www.shanghairanking.com/institution/carnegie-mellon-university
City University of Hong Kong,101-150,https://www.shanghairanking.com/institution/city-university-of-hong-kong
Emory University,101-150,https://www.shanghairanking.com/institution/emory-university
Harbin Institute of Technology,101-150,https://www.shanghairanking.com/institution/harbin-institute-of-technology
Jilin University,101-150,https://www.shanghairanking.com/institution/jilin-university
King Saud University,101-150,https://www.shanghairanking.com/institution/king-saud-university
Leiden University,101-150,https://www.shanghairanking.com/institution/leiden-university
Mayo Clinic Alix School of Medicine,101-150,https://www.shanghairanking.com/institution/mayo-clinic-alix-school-of-medicine
Moscow State University,101-150,https://www.shanghairanking.com/institution/moscow-state-university
Icahn School of Medicine at Mount Sinai,101-150,https://www.shanghairanking.com/institution/icahn-school-of-medicine-at-mount-sinai
Nagoya University,101-150,https://www.shanghairanking.com/institution/nagoya-university
Norwegian University of Science and Technology - NTNU,101-150,https://www.shanghairanking.com/institution/norwegian-university-of-science-and-technology-ntnu
