university_name,rank,qs_uni_link
Erasmus University Rotterdam,=99,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam
Ohio State University (Main campus),=99,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus
University of Birmingham,101,https://www.timeshighereducation.com/world-university-rankings/university-birmingham
Free University of Berlin,102,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin
University of Copenhagen,=103,https://www.timeshighereducation.com/world-university-rankings/university-copenhagen
McMaster University,=103,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university
University of Sheffield,105,https://www.timeshighereducation.com/world-university-rankings/university-sheffield
Emory University,=106,https://www.timeshighereducation.com/world-university-rankings/emory-university
Lund University,=106,https://www.timeshighereducation.com/world-university-rankings/lund-university
University of Warwick,=106,https://www.timeshighereducation.com/world-university-rankings/university-warwick
Aarhus University,=109,https://www.timeshighereducation.com/world-university-rankings/aarhus-university
University of Alberta,=109,https://www.timeshighereducation.com/world-university-rankings/university-alberta
University of Adelaide,=111,https://www.timeshighereducation.com/world-university-rankings/university-adelaide
University of Göttingen,=111,https://www.timeshighereducation.com/world-university-rankings/university-gottingen
Université de Montréal,=111,https://www.timeshighereducation.com/world-university-rankings/universite-de-montreal
"University of Maryland, College Park",114,https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park
Ghent University,115,https://www.timeshighereducation.com/world-university-rankings/ghent-university
University of Bern,=116,https://www.timeshighereducation.com/world-university-rankings/university-bern
Michigan State University,=116,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university
Texas A&M University,118,https://www.timeshighereducation.com/world-university-rankings/texas-am-university
Rice University,=119,https://www.timeshighereducation.com/world-university-rankings/rice-university
University of Vienna,=119,https://www.timeshighereducation.com/world-university-rankings/university-vienna
University of Helsinki,121,https://www.timeshighereducation.com/world-university-rankings/university-helsinki
Penn State (Main campus),122,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus
University of Basel,=123,https://www.timeshighereducation.com/world-university-rankings/university-basel
University of Massachusetts,=123,https://www.timeshighereducation.com/world-university-rankings/university-massachusetts
Vrije Universiteit Amsterdam,125,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-amsterdam
Technical University of Denmark,126,https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark
University of Oslo,127,https://www.timeshighereducation.com/world-university-rankings/university-oslo
University of Freiburg,128,https://www.timeshighereducation.com/world-university-rankings/university-freiburg
University of Leeds,129,https://www.timeshighereducation.com/world-university-rankings/university-leeds
University of Nottingham,=130,https://www.timeshighereducation.com/world-university-rankings/university-nottingham
Tohoku University,=130,https://www.timeshighereducation.com/world-university-rankings/tohoku-university
University of Florida,132,https://www.timeshighereducation.com/world-university-rankings/university-florida
University of Rochester,133,https://www.timeshighereducation.com/world-university-rankings/university-rochester
Trinity College Dublin,134,https://www.timeshighereducation.com/world-university-rankings/trinity-college-dublin
Queen Mary University of London,135,https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-london
University of Hamburg,=136,https://www.timeshighereducation.com/world-university-rankings/university-hamburg
Technical University of Berlin,=136,https://www.timeshighereducation.com/world-university-rankings/technical-university-berlin
University of Colorado Boulder,=138,https://www.timeshighereducation.com/world-university-rankings/university-colorado-boulder
Maastricht University,=138,https://www.timeshighereducation.com/world-university-rankings/maastricht-university
Karlsruhe Institute of Technology,=140,https://www.timeshighereducation.com/world-university-rankings/karlsruhe-institute-technology
Radboud University Nijmegen,=140,https://www.timeshighereducation.com/world-university-rankings/radboud-university-nijmegen
Uppsala University,=140,https://www.timeshighereducation.com/world-university-rankings/uppsala-university
University of Lausanne,=143,https://www.timeshighereducation.com/world-university-rankings/university-lausanne
The University of Western Australia,=143,https://www.timeshighereducation.com/world-university-rankings/university-western-australia
University of Pittsburgh-Pittsburgh campus,=145,https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh-pittsburgh-campus
Sungkyunkwan University (SKKU),=145,https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku
University of York,147,https://www.timeshighereducation.com/world-university-rankings/university-york
University of Technology Sydney,148,https://www.timeshighereducation.com/world-university-rankings/university-technology-sydney
Pohang University of Science and Technology (POSTECH),149,https://www.timeshighereducation.com/world-university-rankings/pohang-university-science-and-technology-postech
University of Auckland,=150,https://www.timeshighereducation.com/world-university-rankings/university-auckland
Sichuan University,=150,https://www.timeshighereducation.com/world-university-rankings/sichuan-university
University of Barcelona,=152,https://www.timeshighereducation.com/world-university-rankings/university-barcelona
National Taiwan University (NTU),=152,https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu
Université Paris Cité,=152,https://www.timeshighereducation.com/world-university-rankings/universite-paris-cite
University of Arizona,=155,https://www.timeshighereducation.com/world-university-rankings/university-arizona
University of Bologna,=155,https://www.timeshighereducation.com/world-university-rankings/university-bologna
Lancaster University,=155,https://www.timeshighereducation.com/world-university-rankings/lancaster-university
Huazhong University of Science and Technology,=158,https://www.timeshighereducation.com/world-university-rankings/huazhong-university-science-and-technology
University of Waterloo,=158,https://www.timeshighereducation.com/world-university-rankings/university-waterloo
University of Cologne,160,https://www.timeshighereducation.com/world-university-rankings/university-cologne
University of Antwerp,=161,https://www.timeshighereducation.com/world-university-rankings/university-antwerp
Dartmouth College,=161,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college
TU Dresden,=161,https://www.timeshighereducation.com/world-university-rankings/tu-dresden
Case Western Reserve University,=164,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university
Wuhan University,=164,https://www.timeshighereducation.com/world-university-rankings/wuhan-university
University of Virginia (Main campus),166,https://www.timeshighereducation.com/world-university-rankings/university-virginia-main-campus
University of Cape Town,167,https://www.timeshighereducation.com/world-university-rankings/university-cape-town
Université Catholique de Louvain,=168,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain
Eindhoven University of Technology,=168,https://www.timeshighereducation.com/world-university-rankings/eindhoven-university-technology
Harbin Institute of Technology,=168,https://www.timeshighereducation.com/world-university-rankings/harbin-institute-technology
