 id_,university_name,website,wikipedia
84,University of Saskatchewan,https://www.usask.ca,https://en.wikipedia.org/wiki/University_of_Saskatchewan
85,College of Emmanuel and St. Chad,https://www.emmanuel.ualberta.ca/,https://en.wikipedia.org/wiki/College_of_Emmanuel_and_St._Chad
86,Lutheran Theological Seminary,https://www.usask.ca/luther/,https://en.wikipedia.org/wiki/Lutheran_Theological_Seminary_(Saskatoon)
87,St. Andrew's College,https://www.sac.on.ca,https://en.wikipedia.org/wiki/St._Andrew%27s_College_(Aurora)
88,St. Thomas More College,https://stmcollege.ca/,"https://en.wikipedia.org/wiki/St._Thomas_More_College,_Saskatoon"
89,Horizon College & Seminary,https://www.horizon.edu,https://en.wikipedia.org/wiki/Horizon_College_and_Seminary
90,University of Alberta,https://www.ualberta.ca,https://en.wikipedia.org/wiki/University_of_Alberta
93,Burman University,https://www.burmanu.ca,https://en.wikipedia.org/wiki/Burman_University
94,Concordia University of Edmonton,https://concordia.ab.ca,https://en.wikipedia.org/wiki/Concordia_University_of_Edmonton
95,University of Lethbridge,https://www.uleth.ca,https://en.wikipedia.org/wiki/University_of_Lethbridge
96,The King's University College,https://www.kings.uwo.ca,https://en.wikipedia.org/wiki/King%27s_University_College
97,Ambrose University,https://ambrose.edu,https://en.wikipedia.org/wiki/Ambrose_University
98,MacEwan University,https://www.macewan.ca,https://en.wikipedia.org/wiki/MacEwan_University
99,Mount Royal University,https://www.mtroyal.ca,https://en.wikipedia.org/wiki/Mount_Royal_University
100,The University of British Columbia,https://www.ubc.ca,https://en.wikipedia.org/wiki/University_of_British_Columbia
101,University of Northern British Columbia,https://www.unbc.ca,https://en.wikipedia.org/wiki/University_of_Northern_British_Columbia
102,Royal Roads University,https://www.royalroads.ca,https://en.wikipedia.org/wiki/Royal_Roads_University
104,University of Victoria,https://www.uvic.ca,https://en.wikipedia.org/wiki/University_of_Victoria
105,Thompson Rivers University,https://www.tru.ca,https://en.wikipedia.org/wiki/Thompson_Rivers_University
107,Vancouver Island University,https://www.viu.ca,https://en.wikipedia.org/wiki/Vancouver_Island_University
108,Emily Carr University of Art and Design,https://www.ecuad.ca,https://en.wikipedia.org/wiki/Emily_Carr_University_of_Art_and_Design
109,Kwantlen Polytechnic University,http://www.kpu.ca,https://en.wikipedia.org/wiki/Kwantlen_Polytechnic_University
110,University of the Fraser Valley,https://www.ufv.ca,https://en.wikipedia.org/wiki/University_of_the_Fraser_Valley
111,Yukon University,https://www.yukonu.ca,https://en.wikipedia.org/wiki/Yukon_University
6,Cape Breton University,https://www.cbu.ca,https://en.wikipedia.org/wiki/Cape_Breton_University
18,Bishop's University,https://www.ubishops.ca,https://en.wikipedia.org/wiki/Bishop%27s_University
36,Brock University,https://brocku.ca,https://en.wikipedia.org/wiki/Brock_University
40,University of Guelph,https://www.uoguelph.ca,https://en.wikipedia.org/wiki/University_of_Guelph
58,University of Waterloo,https://uwaterloo.ca,https://en.wikipedia.org/wiki/University_of_Waterloo
76,Brandon University,https://www.brandonu.ca,https://en.wikipedia.org/wiki/Brandon_University
91,Athabasca University,https://www.athabascau.ca,https://en.wikipedia.org/wiki/Athabasca_University
103,Simon Fraser University,https://www.sfu.ca,https://en.wikipedia.org/wiki/Simon_Fraser_University
106,Capilano University,https://www.capilanou.ca,https://en.wikipedia.org/wiki/Capilano_University
