,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
108,564,University of Connecticut,University of Connecticut Health Center,301-400,https://www.shanghairanking.com/institution/university-of-connecticut
110,709,University of Hawaii at Manoa,University of Hawaii at Manoa,301-400,https://www.shanghairanking.com/institution/university-of-hawaii-at-manoa
111,1938,University of Houston,University of Houston Clear Lake,301-400,https://www.shanghairanking.com/institution/university-of-houston
113,828,University of Illinois at Chicago,University of Illinois at Chicago,301-400,https://www.shanghairanking.com/institution/university-of-illinois-at-chicago
115,888,University of Kansas,The University of Kansas,301-400,https://www.shanghairanking.com/institution/university-of-kansas
116,1042,"University of Maryland, Baltimore",University of Maryland,301-400,https://www.shanghairanking.com/institution/university-of-maryland-baltimore
117,618,University of Miami,University of Miami,301-400,https://www.shanghairanking.com/institution/university-of-miami
118,645,University of South Florida,University of South Florida,301-400,https://www.shanghairanking.com/institution/university-of-south-florida
121,504,Western University,Western University of Health Sciences,301-400,https://www.shanghairanking.com/institution/western-university
125,1666,Drexel University,Drexel University,401-500,https://www.shanghairanking.com/institution/drexel-university
127,574,Georgetown University,Georgetown University,401-500,https://www.shanghairanking.com/institution/georgetown-university
128,722,Iowa State University,Iowa State University,401-500,https://www.shanghairanking.com/institution/iowa-state-university
129,926,Louisiana State University - Baton Rouge,Louisiana State University,401-500,https://www.shanghairanking.com/institution/louisiana-state-university-baton-rouge
130,278,Northern Arizona University,Northern Arizona University,401-500,https://www.shanghairanking.com/institution/northern-arizona-university
131,1488,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,401-500,https://www.shanghairanking.com/institution/rensselaer-polytechnic-institute
132,1731,Temple University,Temple University,401-500,https://www.shanghairanking.com/institution/temple-university
133,1570,Federal University of Rio Grande do Sul,University of Rio Grande,401-500,https://www.shanghairanking.com/institution/federal-university-of-rio-grande-do-sul
134,1784,University of South Carolina - Columbia,University of South Carolina,401-500,https://www.shanghairanking.com/institution/university-of-south-carolina-columbia-1
135,1951,The University of Texas Medical Branch at Galveston,University of Texas Medical Branch at Galveston,401-500,https://www.shanghairanking.com/institution/the-university-of-texas-medical-branch-at-galveston
136,238,University of Alabama at Birmingham,University of Alabama,401-500,https://www.shanghairanking.com/institution/university-of-alabama-at-birmingham
138,864,University of Notre Dame,University of Notre Dame,401-500,https://www.shanghairanking.com/institution/university-of-notre-dame
139,1640,University of Oregon,University of Oregon,401-500,https://www.shanghairanking.com/institution/university-of-oregon
140,2032,University of Vermont,University of Vermont,401-500,https://www.shanghairanking.com/institution/university-of-vermont
141,1968,Utah State University,Utah State University,401-500,https://www.shanghairanking.com/institution/utah-state-university
142,2074,Washington State University,Washington State University,401-500,https://www.shanghairanking.com/institution/washington-state-university
143,1476,York University,New York University,401-500,https://www.shanghairanking.com/institution/york-university
144,1405,Binghamton University,Binghamton University,501-600,https://www.shanghairanking.com/institution/binghamton-university
145,943,Boston College,Boston College,501-600,https://www.shanghairanking.com/institution/boston-college
146,707,Brigham Young University,Brigham Young University Hawaii,501-600,https://www.shanghairanking.com/institution/brigham-young-university
149,1125,Concordia University,Concordia University Saint Paul,501-600,https://www.shanghairanking.com/institution/concordia-university
153,603,Florida International University,Florida International University,501-600,https://www.shanghairanking.com/institution/florida-international-university
154,676,Georgia State University,Georgia State University,501-600,https://www.shanghairanking.com/institution/georgia-state-university
155,244,Kansas State University,Arkansas State University,501-600,https://www.shanghairanking.com/institution/kansas-state-university
157,1779,Medical University of South Carolina,Medical University of South Carolina,501-600,https://www.shanghairanking.com/institution/medical-university-of-south-carolina
159,1208,Mississippi State University,Mississippi State University,501-600,https://www.shanghairanking.com/institution/mississippi-state-university
160,1598,Oklahoma State University,Northwestern Oklahoma State University,501-600,https://www.shanghairanking.com/institution/oklahoma-state-university
164,1191,Saint Louis University,Saint Louis University,501-600,https://www.shanghairanking.com/institution/saint-louis-university
165,1911,Southwestern University of Finance and Economics,Southwestern University,501-600,https://www.shanghairanking.com/institution/southwestern-university-of-finance-and-economics
166,1931,Texas Tech University,Texas Tech University,501-600,https://www.shanghairanking.com/institution/texas-tech-university
168,1954,The University of Texas at San Antonio,University of Texas at San Antonio,501-600,https://www.shanghairanking.com/institution/the-university-of-texas-at-san-antonio
169,1682,Thomas Jefferson University,Thomas Jefferson University,501-600,https://www.shanghairanking.com/institution/thomas-jefferson-university
170,936,Tulane University,Tulane University,501-600,https://www.shanghairanking.com/institution/tulane-university
171,266,University of Arkansas at Fayetteville,University of Arkansas,501-600,https://www.shanghairanking.com/institution/university-of-arkansas-at-fayetteville
172,496,"University of California, Merced",University of California,501-600,https://www.shanghairanking.com/institution/university-of-california-merced
173,1059,University of Maine,University of Maine,501-600,https://www.shanghairanking.com/institution/university-of-maine
176,1942,University of North Texas,University of North Texas,501-600,https://www.shanghairanking.com/institution/university-of-north-texas
178,1294,Wake Forest University,Wake Forest University,501-600,https://www.shanghairanking.com/institution/wake-forest-university
179,2133,West Virginia University,West Virginia University,501-600,https://www.shanghairanking.com/institution/west-virginia-university
180,218,Auburn University,Auburn University,601-700,https://www.shanghairanking.com/institution/auburn-university
182,1856,Baylor University,Baylor University,601-700,https://www.shanghairanking.com/institution/baylor-university
