university_name,id_,rank,qs_uni_link
University of Texas at San Antonio,1848,1001-1200,https://www.topuniversities.com/universities/university-texas-san-antonio
University of the Pacific,1860,1201-1400,https://www.topuniversities.com/universities/university-pacific
University of Toledo,1866,1001-1200,https://www.topuniversities.com/universities/university-toledo
University of Utah,1868,=441,https://www.topuniversities.com/universities/university-utah
University of Vermont,1870,901-950,https://www.topuniversities.com/universities/university-vermont
University of Virginia,1871,260,https://www.topuniversities.com/universities/university-virginia
University of Washington,1873,63,https://www.topuniversities.com/universities/university-washington
University of Wyoming,1892,1001-1200,https://www.topuniversities.com/universities/university-wyoming
Utah State University,1896,1001-1200,https://www.topuniversities.com/universities/utah-state-university
Vanderbilt University,1904,261,https://www.topuniversities.com/universities/vanderbilt-university
Virginia Commonwealth University,1913,761-770,https://www.topuniversities.com/universities/virginia-commonwealth-university
Wake Forest University,1924,701-710,https://www.topuniversities.com/universities/wake-forest-university
Washington State University,1938,=419,https://www.topuniversities.com/universities/washington-state-university
Washington University in St. Louis,1939,=154,https://www.topuniversities.com/universities/washington-university-st-louis
Wayne State University,1943,751-760,https://www.topuniversities.com/universities/wayne-state-university
Wesleyan University,1954,851-900,https://www.topuniversities.com/universities/wesleyan-university
Western Michigan University,1963,1001-1200,https://www.topuniversities.com/universities/western-michigan-university
Western Washington University,1968,1401+,https://www.topuniversities.com/universities/western-washington-university
West Virginia University,1978,901-950,https://www.topuniversities.com/universities/west-virginia-university
William & Mary,1997,901-950,https://www.topuniversities.com/universities/william-mary
Worcester Polytechnic Institute,2015,851-900,https://www.topuniversities.com/universities/worcester-polytechnic-institute
Yale University,2021,16,https://www.topuniversities.com/universities/yale-university
Yeshiva University,2022,=369,https://www.topuniversities.com/universities/yeshiva-university
York University,2025,353,https://www.topuniversities.com/universities/york-university
