id_,university_name
537,Columbus College of Art and Design
538,Columbus State University
539,Commonwealth University of Pennsylvania
540,Community College of Denver
541,Conception Seminary College
542,Concordia College--Moorhead
543,Concordia University Ann Arbor
544,Concordia University Chicago
545,Concordia University -- Irvine
546,Concordia University (NE)
547,"Concordia University, St. Paul"
548,Concordia University Texas
549,Concordia University Wisconsin
550,Concord University
551,Connecticut College
552,Converse University
553,Cooper Union for the Advancement of Science and Art
554,Coppin State University
555,Corban University
556,Cornell College
557,Cornell University
558,Cornerstone University
559,Cornish College of the Arts
560,Cottey College
561,Covenant College
562,Cox College
563,Creighton University
564,Criswell College
565,Crowley's Ridge College
566,Crown College
567,Culinary Institute of America
568,Culver-Stockton College
569,Cumberland University
570,CUNY--Baruch College
571,CUNY--Brooklyn College
572,CUNY--City College
573,CUNY--College of Staten Island
574,CUNY--Hunter College
575,CUNY--John Jay College of Criminal Justice
576,CUNY--Lehman College
577,CUNY--New York City College of Technology
578,CUNY--Queens College
579,Curry College
580,Curtis Institute of Music
581,Cypress College
582,Daemen University
583,Dakota State University
584,Dakota Wesleyan University
585,Dallas Baptist University
586,Dalton State College
587,Dartmouth College
588,Davenport University
589,Davidson College
590,Davis and Elkins College
591,Davis College
592,Daytona State College
593,Dean College
594,Defiance College
595,Delaware State University
596,Delaware Technical Community College--Terry
597,Delaware Valley University
598,Delta State University
599,Denison University
600,Denver College of Nursing
601,DePaul University
602,DePauw University
603,DEREE--The American College of Greece
604,DeSales University
605,Design Institute of San Diego
606,DeVry University
607,Dharma Realm Buddhist University
608,Dickinson College
609,Dickinson State University
610,DigiPen Institute of Technology
611,Dillard University
612,Dine College
613,Divine Word College
614,Doane University
615,Dominican University
616,Dominican University New York
617,Dominican University of California
618,Donnelly College
619,Dordt University
620,Drake University
621,Drew University
622,Drexel University
623,Drury University
624,Duke University
625,Dunwoody College of Technology
626,Duquesne University
627,D'Youville University
628,Eagle Gate College--Murray
629,Earlham College
630,East Carolina University
631,East Central University
632,Eastern Connecticut State University
633,Eastern Florida State College
634,Eastern Illinois University
635,Eastern International College--Jersey City
636,Eastern Kentucky University
637,Eastern Mennonite University
638,Eastern Michigan University
639,Eastern Nazarene College
640,Eastern New Mexico University
641,Eastern Oregon University
642,Eastern University
643,Eastern Washington University
644,East Georgia State College
645,East Stroudsburg University
646,East Tennessee State University
647,East Texas Baptist University
648,East-West University
649,Eckerd College
650,ECPI University
651,Edgewood College
652,Edmonds Community College
653,EDP University of Puerto Rico Inc--San Juan
654,Edward Waters University
655,Elizabeth City State University
656,Elizabethtown College
657,Elmhurst University
658,Elmira College
659,Elms College
660,Elon University
661,Embry-Riddle Aeronautical University -- Daytona Beach
662,Embry-Riddle Aeronautical University--Prescott
663,Embry-Riddle Aeronautical University--Worldwide
664,Emerson College
665,Emmanuel College
666,Emmanuel University
667,Emmaus Bible College
668,Emory & Henry College
669,Emory University
670,Emporia State University
671,Endicott College
672,Erskine College
673,Escuela de Artes Plasticas de Puerto Rico
674,Eureka College
675,Evangel University
676,Everglades University
677,The Evergreen State College
678,Fairfield University
679,Fairleigh Dickinson University
680,Fairmont State University
681,Faith Baptist Bible College and Theological Seminary
682,Farmingdale State College--SUNY
683,Fashion Institute of Design & Merchandising
684,Fashion Institute of Technology
685,Faulkner University
686,Fayetteville State University
687,Feather River Community College District
688,Felician University
689,Ferris State University
690,Ferrum College
691,Fisher College
692,Fisk University
693,Fitchburg State University
694,Five Towns College
695,Flagler College
696,Florida A&M University
697,Florida A&M University -- Florida State University College of Engineering
698,Florida Atlantic University
699,Florida College
700,Florida Gateway College
701,Florida Gulf Coast University
702,Florida Institute of Technology
703,Florida International University
704,Florida Keys Community College
705,Florida Memorial University
706,Florida National University
707,Florida Polytechnic University
708,Florida Southern College
709,Florida SouthWestern State College
710,Florida State College--Jacksonville
711,Florida State University
712,Fontbonne University
713,Foothill College
714,Fordham University
715,Fort Hays State University
716,Fort Lewis College
717,Fort Valley State University
