,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
65,1060,Michigan State University,Michigan State University,151-200,https://www.shanghairanking.com/institution/michigan-state-university
66,1571,Texas A&M University,Texas A&M University,151-200,https://www.shanghairanking.com/institution/texas-a-m-university
73,1616,Tufts University,Tufts University,151-200,https://www.shanghairanking.com/institution/tufts-university
74,1655,University of Arizona,University of Arizona,151-200,https://www.shanghairanking.com/institution/university-of-arizona
75,1672,"University of California, Santa Cruz","University of California, Santa Cruz",151-200,https://www.shanghairanking.com/institution/university-of-california-santa-cruz
76,697,Florida State University,Florida A&M University -- Florida State University College of Engineering,201-300,https://www.shanghairanking.com/institution/florida-state-university
78,739,George Mason University,George Mason University,201-300,https://www.shanghairanking.com/institution/george-mason-university
79,1168,North Carolina State University - Raleigh,North Carolina State University,201-300,https://www.shanghairanking.com/institution/north-carolina-state-university-raleigh
80,642,Northeastern University (Boston),Eastern University,201-300,https://www.shanghairanking.com/institution/northeastern-university-boston
82,1231,Oregon Health and Science University,Oregon Health and Science University,201-300,https://www.shanghairanking.com/institution/oregon-health-and-science-university
83,1233,Oregon State University,Oregon State University,201-300,https://www.shanghairanking.com/institution/oregon-state-university
84,742,The George Washington University,George Washington University,201-300,https://www.shanghairanking.com/institution/the-george-washington-university
85,1606,Trinity College Dublin,Trinity College,201-300,https://www.shanghairanking.com/institution/trinity-college-dublin
86,1669,"University of California, Riverside","University of California, Riverside",201-300,https://www.shanghairanking.com/institution/university-of-california-riverside
87,1679,University of Cincinnati,University of Cincinnati,201-300,https://www.shanghairanking.com/institution/university-of-cincinnati
89,1687,University of Delaware,University of Delaware,201-300,https://www.shanghairanking.com/institution/university-of-delaware
90,1712,University of Iowa,University of Iowa,201-300,https://www.shanghairanking.com/institution/university-of-iowa
91,1748,University of Missouri - Columbia,University of Missouri,201-300,https://www.shanghairanking.com/institution/university-of-missouri-columbia
92,1813,University of Rochester,University of Rochester,201-300,https://www.shanghairanking.com/institution/university-of-rochester
93,1871,University of Virginia,University of Virginia,201-300,https://www.shanghairanking.com/institution/university-of-virginia
95,1913,Virginia Commonwealth University,Virginia Commonwealth University,201-300,https://www.shanghairanking.com/institution/virginia-commonwealth-university
96,366,Brandeis University,Brandeis University,301-400,https://www.shanghairanking.com/institution/brandeis-university
97,526,Colorado State University,Colorado State University,301-400,https://www.shanghairanking.com/institution/colorado-state-university
99,587,Dartmouth College,Dartmouth College,301-400,https://www.shanghairanking.com/institution/dartmouth-college
100,642,Northeastern University (Shenyang),Eastern University,301-400,https://www.shanghairanking.com/institution/northeastern-university-shenyang
102,1526,Stony Brook University,Stony Brook University--SUNY,301-400,https://www.shanghairanking.com/institution/stony-brook-university
