university_name,id_
Bryan College,382
Bryan College of Health Sciences,383
Bryant & Stratton College--Wauwatosa,384
Bryant University,385
Bryn Athyn College of the New Church,386
Bryn Mawr College,387
Bucknell University,388
Buena Vista University,389
Bushnell University,390
Butler University,391
Cabarrus College of Health Sciences,392
Cairn University,393
Caldwell University,394
California Baptist University,395
California College of the Arts,396
California Institute of Technology,397
California Institute of the Arts,398
California Lutheran University,399
California Polytechnic State University -- Humboldt,400
California Polytechnic State University--San Luis Obispo,401
California State Polytechnic University--Pomona,402
California State University--Bakersfield,403
California State University--Channel Islands,404
California State University--Chico,405
California State University--Dominguez Hills,406
California State University--East Bay,407
"California State University, Fresno",408
California State University--Fullerton,409
California State University--Long Beach,410
California State University--Los Angeles,411
California State University--Maritime Academy,412
California State University--Monterey Bay,413
California State University--Northridge,414
"California State University, Sacramento",415
California State University--San Bernardino,416
"California State University, San Marcos",417
California State University--Stanislaus,418
Calumet College of St. Joseph,419
Calvary University,420
Calvin University,421
Cambridge College,422
Cameron University,423
Campbellsville University,424
Campbell University,425
Canisius University,426
Capital University,427
Capitol Technology University,428
Caribbean University,429
Carleton College,430
Carlow University,431
Carnegie Mellon University,432
Carolinas College of Health Sciences,433
Carroll College,434
Carroll University,2081
Carson-Newman University,436
Carthage College,2082
Cascadia College,438
Case Western Reserve University,439
Castleton University,440
Catawba College,441
The Catholic University of America,442
Cedar Crest College,443
Cedarville University,444
CEM College--San Juan,445
Centenary College,446
Centenary University,447
Central Baptist College,448
Central Christian College of Kansas,449
Central College,450
Central Connecticut State University,451
Centralia College,2039
Central Methodist University -- College of Liberal Arts and Sciences,453
Central Michigan University,454
Central Penn College,455
Central State University,456
Central Washington University,2042
Centre College,458
Chadron State College,459
Chamberlain University,460
Chaminade University of Honolulu,461
Champlain College,462
Chapman University,463
Charles R. Drew University of Medicine and Science,464
Charleston Southern University,465
Chatham University,466
Chestnut Hill College,467
Cheyney University of Pennsylvania,468
Chicago School of Professional Psychology at Los Angeles,469
Chicago State University,470
Chipola College,471
Chowan University,472
Christ College of Nursing and Health Sciences,473
Christian Brothers University,474
Christopher Newport University,475
"The Citadel, The Military College of South Carolina",476
Claflin University,477
Claremont McKenna College,478
Clark Atlanta University,479
Clark College,2041
Clarke University,481
Clarkson College,482
Clarkson University,483
Clarks Summit University,484
Clark University,485
Clayton State University,486
Clear Creek Baptist Bible College,487
Cleary University,488
Clemson University,489
Cleveland Institute of Art,490
Cleveland Institute of Music,491
Cleveland State University,492
Cleveland University--Kansas City,493
Clover Park Technical College,494
Coastal Carolina University,495
Coe College,496
Coker University,497
Colby College,498
Colby-Sawyer College,499
Colegio Universitario de San Juan,500
Colgate University,501
College for Creative Studies,502
College of Biblical Studies--Houston,503
College of Central Florida,504
College of Charleston,505
College of Coastal Georgia,506
College of Idaho,507
College of Menominee Nation,508
College of Mount St. Vincent,509
The College of New Jersey,510
College of Saint Mary,511
The College of Saint Rose,512
College of Southern Nevada,513
College of St. Benedict,514
The College of St. Scholastica,515
College of the Atlantic,516
College of the Holy Cross,517
College of the Ozarks,518
The College of Westchester,519
The College of Wooster,520
Colorado Christian University,521
Colorado College,522
Colorado Mesa University,523
Colorado Mountain College,524
Colorado School of Mines,525
Colorado State University,526
Colorado State University--Pueblo,527
Colorado Technical University,528
Columbia Basin College,529
Columbia Central University--Caguas,530
Columbia College Chicago,531
Columbia College Hollywood,532
Columbia College (MO),533
Columbia College (SC),534
Columbia International University,535
Columbia University,536
Columbus College of Art and Design,537
Columbus State University,538
Commonwealth University of Pennsylvania,539
Community College of Denver,540
Conception Seminary College,541
Concordia College--Moorhead,542
Concordia University Ann Arbor,543
Concordia University Chicago,544
Concordia University -- Irvine,545
Concordia University (NE),546
"Concordia University, St. Paul",547
Concordia University Texas,548
Concordia University Wisconsin,549
Concord University,2121
Connecticut College,551
Converse University,552
Cooper Union for the Advancement of Science and Art,553
Coppin State University,554
Corban University,555
Cornell College,556
Cornell University,557
Cornerstone University,558
Cornish College of the Arts,559
Cottey College,560
Covenant College,561
Cox College,562
Creighton University,563
Criswell College,564
Crowley's Ridge College,565
Crown College,566
Culinary Institute of America,567
Culver-Stockton College,568
Cumberland University,569
CUNY--Baruch College,570
CUNY--Brooklyn College,571
CUNY--City College,572
CUNY--College of Staten Island,573
CUNY--Hunter College,574
CUNY--John Jay College of Criminal Justice,575
CUNY--Lehman College,576
CUNY--New York City College of Technology,577
CUNY--Queens College,578
Curry College,579
Curtis Institute of Music,580
Cypress College,581
Daemen University,582
Dakota State University,583
Dakota Wesleyan University,584
Dallas Baptist University,585
Dalton State College,586
Dartmouth College,587
Davenport University,588
Davidson College,589
Davis and Elkins College,590
Davis College,591
Daytona State College,592
Dean College,593
Defiance College,594
Delaware State University,595
Delaware Technical Community College--Terry,596
Delaware Valley University,597
Delta State University,598
Denison University,599
Denver College of Nursing,600
DePaul University,601
DePauw University,602
DEREE--The American College of Greece,603
DeSales University,604
Design Institute of San Diego,605
DeVry University,606
Dharma Realm Buddhist University,607
Dickinson College,608
Dickinson State University,609
DigiPen Institute of Technology,2043
Dillard University,611
Dine College,612
Divine Word College,613
Doane University,614
Dominican University,615
Dominican University New York,616
Dominican University of California,617
Donnelly College,618
Dordt University,619
Drake University,620
Drew University,621
Drexel University,622
Drury University,623
Duke University,624
Dunwoody College of Technology,625
Duquesne University,626
D'Youville University,627
Eagle Gate College--Murray,628
Earlham College,629
East Carolina University,630
East Central University,631
Eastern Connecticut State University,632
Eastern Florida State College,633
Eastern Illinois University,634
Eastern International College--Jersey City,635
Eastern Kentucky University,636
Eastern Mennonite University,637
Eastern Michigan University,638
Eastern Nazarene College,639
Eastern New Mexico University,640
Eastern Oregon University,641
Eastern University,642
Eastern Washington University,2047
East Georgia State College,644
East Stroudsburg University,645
East Tennessee State University,646
East Texas Baptist University,647
East-West University,648
Eckerd College,649
ECPI University,650
Edgewood College,2084
Edmonds Community College,2044
EDP University of Puerto Rico Inc--San Juan,653
Edward Waters University,654
Elizabeth City State University,655
Elizabethtown College,656
Elmhurst University,657
Elmira College,658
Elms College,659
Elon University,660
Embry-Riddle Aeronautical University -- Daytona Beach,661
Embry-Riddle Aeronautical University--Prescott,662
Embry-Riddle Aeronautical University--Worldwide,663
Emerson College,664
Emmanuel College,665
Emmanuel University,666
Emmaus Bible College,667
Emory & Henry College,668
Emory University,669
Emporia State University,670
Endicott College,671
Erskine College,672
Escuela de Artes Plasticas de Puerto Rico,673
Eureka College,674
Evangel University,675
Everglades University,676
The Evergreen State College,2046
Fairfield University,678
Fairleigh Dickinson University,679
Fairmont State University,2123
Faith Baptist Bible College and Theological Seminary,681
Farmingdale State College--SUNY,682
Fashion Institute of Design & Merchandising,683
Fashion Institute of Technology,684
Faulkner University,685
Fayetteville State University,686
Feather River Community College District,687
Felician University,688
Ferris State University,689
Ferrum College,690
Fisher College,691
Fisk University,692
Fitchburg State University,693
